address,name,r_n_address,rate,rate_num,고기,한식,중식,양식,일식,카페,가족식사,친구랑,술자리,밥약,데이트,디저트,혼밥,분위기 있는,가성비,깨끗한,소개팅,뒷풀이,Column2,Column3,Column4,예약가능여부,tags,참고사항
서울 서대문구 연희로 32 (우)03784,만동제과,창천동 448,4.3,201,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,,,0,'etc',
서울 서대문구 명물1길 2 (우)03776,신촌형제갈비,창천동 31-26,2.6,116,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,0,'etc',
서울 서대문구 연세로4길 62 (우)03777,부엉이돈가스 신촌점,창천동 5-70,4,78,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,,,,0,"'#경양식요리', '#데이트코스', '#혼밥', '#제로페이'",
서울 서대문구 연세로 42-24 (우)03776,라구식당,창천동 2-44,4,164,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,,,,0,"'#데이트코스', '#제로페이'",
서울 서대문구 연세로5나길 20 1층 (우)03789,더파이홀,창천동 57-61,3.8,179,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,,,,0,"'#데이트코스', '#디저트카페', '#제로페이'",
서울 서대문구 연세로9길 31 1층 (우)03788,신촌황소곱창 신촌본점,창천동 52-148,2.2,97,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,'etc',
서울 서대문구 명물1길 24 (우)03776,복성각,창천동 31-8,3.3,69,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,0,'#제로페이',
서울 서대문구 명물길 33 2층 (우)03776,미도인 신촌,창천동 45-12,3.7,58,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,,,,0,"'#안심식당', '#데이트코스', '#분위기좋은', '#이국적인', '#친목모임', '#제로페이'",
서울 서대문구 연세로5가길 19 1층 (우)03789,소신이쏘,창천동 57-39,3.8,116,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,,,,0,"'#점심식사', '#카카오페이', '#제로페이'",
서울 서대문구 연세로7안길 34-1 1층 (우)03787,카라멘야,창천동 53-97,4.1,92,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,,,,0,"'#혼밥', '#혼술', '#제로페이'",
서울 서대문구 연세로4길 19 2층 (우)03777,또보겠지떡볶이집 신촌히어로점,창천동 13-33,4.2,97,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,1,'#제로페이',
서울 서대문구 연세로5다길 22-8 1층 (우)03789,정육면체,창천동 62-18,3.6,150,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,,,,0,"'#혼밥', '#제로페이'",
서울 서대문구 연세로7안길 38 (우)03787,고삼이 신촌점,창천동 53-8,4.4,81,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,0,"'#혼밥', '#제로페이'",
서울 서대문구 연세로 36 독수리빌딩 8층 (우)03776,독수리다방,창천동 31-4,4.2,73,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,,,,0,"'#감성카페', '#루프탑있는', '#카카오페이', '#제로페이'",
서울 서대문구 신촌역로 16 (우)03766,미스터서왕만두,대현동 27-20,4.5,91,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,,0,'#제로페이',
서울 서대문구 연세로4길 38 (우)03777,클로리스 신촌점,창천동 13-35,4.1,94,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,,,,0,"'#데이트코스', '#소개팅', '#제로페이'",
서울 서대문구 연세로5길 26-7 (우)03789,미분당 신촌2호점,창천동 62-9,3.9,94,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,,,,0,'#혼밥',
서울 서대문구 신촌로11길 62 (우)03787,키친봄날,창천동 53-75,4,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,1,"'#혼밥', '#제로페이'",
서울 서대문구 이화여대5길 5 1층 (우)03766,마더린러베이글,대현동 56-23,0,140,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,,,0,'#제로페이',
서울 서대문구 연세로5다길 10 (우)03789,여우골,창천동 62-11,3.5,101,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,,,,0,'#제로페이',
서울 서대문구 연세로4길 6 2층 (우)03779,이빠네마그릴,창천동 18-11,3.9,50,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,,,0,"'#데이트코스', '#브라질음식', '#이국적인', '#제로페이'",
서울 서대문구 연세로2길 94 1층 3호 (우)03780,연어초밥,대현동 104-40,4.8,145,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,,,,0,"'#혼밥', '#제로페이'",
